Emissor,Ativo,Tipo de Ativo,Emissão,Vencimento,Liquidez,Carência,Taxa,Indexador,Quantidade,Preço,Valor Compra,Saldo Bruto,Saldo Líquido,IR,IOF
Banco Alfa,CDB Alfa 2027,CDB,2023-06-10,2027-06-10,Não,90,13.2,PRÉ,1,10000,10000,12850,12100,750,0
Banco Alfa,CDB Alfa 2026,CDB,2022-11-05,2026-11-05,Não,90,120,CDI,1,15000,15000,17600,16850,750,0
Banco Beta,LCI Beta IPCA 2028,LCI,2023-01-20,2028-01-20,Não,180,6.1,IPCA,1,20000,20000,26200,26200,0,0
Banco Gama,CDB Gama Liquidez,CDB,2024-02-01,2026-02-01,Sim,0,105,CDI,1,8000,8000,8650,8400,250,0
Banco Delta,LCA Delta 2029,LCA,2023-07-15,2029-07-15,Não,180,6.5,IPCA,1,25000,25000,32200,32200,0,0
Banco Alfa,CDB Alfa 2025,CDB,2023-03-10,2025-03-10,Não,60,12.5,PRÉ,1,12000,12000,13500,12800,700,0
Banco Ômega,CDB Ômega 2030,CDB,2024-01-12,2030-01-12,Não,180,14.1,PRÉ,1,30000,30000,34500,32800,1700,0
Banco Beta,CDB Beta 2027,CDB,2023-09-01,2027-09-01,Não,90,118,CDI,1,18000,18000,21000,20000,1000,0
Banco Sigma,LCI Sigma 2026,LCI,2022-08-18,2026-08-18,Não,180,5.8,IPCA,1,22000,22000,26500,26500,0,0
Banco Gama,CDB Gama 2028,CDB,2023-05-30,2028-05-30,Não,120,125,CDI,1,16000,16000,19800,18800,1000,0
Banco Delta,CDB Delta 2026,CDB,2022-12-01,2026-12-01,Não,90,11.9,PRÉ,1,14000,14000,15800,15000,800,0
Banco Ômega,CDB Ômega Liquidez,CDB,2024-04-01,2025-04-01,Sim,0,102,CDI,1,10000,10000,10450,10200,250,0

